iter 0: end-start=0.002512693405151367
iter 1: end-start=0.002518892288208008
iter 2: end-start=0.0020236968994140625
iter 3: end-start=0.002513408660888672
iter 4: end-start=0.0022139549255371094
iter 5: end-start=0.001512765884399414
iter 6: end-start=0.0017561912536621094
iter 7: end-start=0.002571582794189453
iter 8: end-start=0.002008199691772461
iter 9: end-start=0.0020241737365722656
iter 10: end-start=0.0022382736206054688
iter 11: end-start=0.00218963623046875
iter 12: end-start=0.002521038055419922
iter 13: end-start=0.002012491226196289
iter 14: end-start=0.0020084381103515625
iter 15: end-start=0.028024673461914062
iter 16: end-start=0.0015163421630859375
iter 17: end-start=0.0015187263488769531
iter 18: end-start=0.0020232200622558594
iter 19: end-start=0.0030231475830078125
iter 20: end-start=0.002037525177001953
iter 21: end-start=0.001020669937133789
iter 22: end-start=0.002428293228149414
iter 23: end-start=0.0020058155059814453
iter 24: end-start=0.004514217376708984
iter 25: end-start=0.0020351409912109375
iter 26: end-start=0.002089262008666992
iter 27: end-start=0.0023386478424072266
iter 28: end-start=0.002006053924560547
iter 29: end-start=0.0021142959594726562
iter 30: end-start=0.0020384788513183594
iter 31: end-start=0.0025169849395751953
iter 32: end-start=0.0020227432250976562
iter 33: end-start=0.0015132427215576172
iter 34: end-start=0.002134084701538086
iter 35: end-start=0.003023862838745117
iter 36: end-start=0.0023736953735351562
iter 37: end-start=0.002349853515625
iter 38: end-start=0.002279520034790039
iter 39: end-start=0.0025038719177246094
iter 40: end-start=0.0010068416595458984
iter 41: end-start=0.0016224384307861328
iter 42: end-start=0.002006053924560547
iter 43: end-start=0.0013570785522460938
iter 44: end-start=0.002310514450073242
iter 45: end-start=0.0021452903747558594
iter 46: end-start=0.004290580749511719
iter 47: end-start=0.0020096302032470703
iter 48: end-start=0.0020236968994140625
iter 49: end-start=0.0030181407928466797
iter 50: end-start=0.003008127212524414
iter 51: end-start=0.0025887489318847656
iter 52: end-start=0.002466440200805664
iter 53: end-start=0.0015571117401123047
iter 54: end-start=0.002325773239135742
iter 55: end-start=0.0020232200622558594
iter 56: end-start=0.0020263195037841797
iter 57: end-start=0.0020253658294677734
iter 58: end-start=0.0020232200622558594
iter 59: end-start=0.00127410888671875
iter 60: end-start=0.0020084381103515625
iter 61: end-start=0.0015239715576171875
iter 62: end-start=0.00251007080078125
iter 63: end-start=0.0035352706909179688
iter 64: end-start=0.002512693405151367
iter 65: end-start=0.002118349075317383
iter 66: end-start=0.0030057430267333984
iter 67: end-start=0.001542806625366211
iter 68: end-start=0.002023458480834961
iter 69: end-start=0.0025742053985595703
iter 70: end-start=0.0022628307342529297
iter 71: end-start=0.0020503997802734375
iter 72: end-start=0.0015468597412109375
iter 73: end-start=0.0015416145324707031
iter 74: end-start=0.0030059814453125
iter 75: end-start=0.0015461444854736328
iter 76: end-start=0.002432584762573242
iter 77: end-start=0.0010051727294921875
iter 78: end-start=0.00203704833984375
iter 79: end-start=0.0020236968994140625
iter 80: end-start=0.0020227432250976562
iter 81: end-start=0.003007173538208008
iter 82: end-start=0.002023458480834961
iter 83: end-start=0.0015137195587158203
iter 84: end-start=0.001512289047241211
iter 85: end-start=0.002008676528930664
iter 86: end-start=0.0020072460174560547
iter 87: end-start=0.002245664596557617
iter 88: end-start=0.0020236968994140625
iter 89: end-start=0.002674102783203125
iter 90: end-start=0.0020058155059814453
iter 91: end-start=0.0030298233032226562
iter 92: end-start=0.002675294876098633
iter 93: end-start=0.002039194107055664
iter 94: end-start=0.0020225048065185547
iter 95: end-start=0.0020058155059814453
iter 96: end-start=0.0022246837615966797
iter 97: end-start=0.0012307167053222656
iter 98: end-start=0.002424001693725586
iter 99: end-start=0.0015187263488769531
